WT1	WT2	WT3	LSD1ko1	LSD1ko2	LSD1ko3
Lax1	839	1310	908	2809	3435	2896
Atp2b4	0	2	0	8	12	2
Prelp	0	1	0	0	0	0
Btg2	865	875	530	2141	2493	2557
Chil1	0	0	0	0	1	2
Ppfia4	13	45	31	52	64	126
Cyb5r1	102	118	106	334	328	425
Adipor1	744	816	564	1957	2499	2473
Rabif	154	230	130	497	658	602
Ube2t	174	321	166	637	675	577
Ptprv	19	17	5	103	29	54
Elf3	0	0	0	0	1	0
Arl8a	179	170	129	418	457	543
Timm17a	206	272	143	659	916	631
Shisa4	2	0	0	0	1	0
Csrp1	911	1294	1172	1958	3626	3135
Phlda3	8	3	0	4	5	8
Tnnt2	0	0	0	1	0	0
Lad1	4	3	1	1	6	14
Tmem9	105	112	111	275	402	261
Igfn1	1	1	1	1	5	4
Cacna1s	121	169	143	438	508	353
Kif21b	710	596	369	2233	1442	2110
5730559C18Rik	3	0	0	1	3	3
Ddx59	45	70	40	197	248	203
9230116N13Rik	4	15	6	37	28	32
Kif14	138	204	110	827	588	732
Zfp281	45	84	30	403	227	281
Gm19705	1	2	0	21	3	8
Lhx9	1	1	0	1	0	0
2310009B15Rik	35	66	44	118	145	104
4930596I21Rik	0	3	1	2	0	3
Zbtb41	37	149	33	221	175	241
F13b	0	0	0	1	0	1
B3galt2	0	0	0	0	0	2
Trove2	4	7	2	8	14	53
Glrx2	48	98	38	250	285	268
Rgs2	591	1779	624	1763	4154	2885
Rgs13	315	3401	1283	1494	3837	2905
Rgs1	7	33	19	137	93	141
Rgs18	8	34	6	91	155	175
Ptgs2	27	2	2	4	5	3
Prg4	1	6	0	44	3	9
BC003331	28	150	51	279	191	179
Tpr	582	1100	598	4325	3087	2470
Ivns1abp	737	1616	625	4859	2743	2732
Trmt1l	230	277	167	893	776	687
Rnf2	110	366	112	500	642	682
Mir7682	1	1	0	0	0	0
Tsen15	86	169	109	252	353	297
Arpc5	1165	2417	1003	4583	6630	5257
Smg7	513	530	311	1660	1498	1673
Lamc2	3	0	0	1	2	1
Shcbp1l	1	8	5	24	17	10
E330020D12Rik	69	94	48	267	260	155
Npl	2	8	12	5	1	39
Rgs16	4	0	2	20	3	1
Rgs8	0	1	0	0	0	0
Rnasel	1	16	17	93	25	134
Glul	642	829	656	1458	1497	2130
Ier5	286	185	144	1015	974	882
Mr1	14	22	13	90	105	138
Gm5532	0	0	0	3	1	2
Qsox1	38	32	36	208	135	130
Cep350	188	367	187	1464	1051	1299
Tor1aip2	296	467	209	1157	1170	1369
Tor1aip1	491	769	424	1837	1700	2060
